time,open,high,low,close,volume
2026-01-04 12:36:00,134.44,134.54,134.42,134.51,3050.013
2026-01-04 12:37:00,134.52,134.62,134.5,134.52,894.436
2026-01-04 12:38:00,134.52,134.58,134.47,134.53,2963.134
2026-01-04 12:39:00,134.53,134.53,134.44,134.45,322.146
2026-01-04 12:40:00,134.44,134.49,134.44,134.48,523.964
2026-01-04 12:41:00,134.49,134.49,134.37,134.37,800.624
2026-01-04 12:42:00,134.38,134.38,134.32,134.35,600.144
2026-01-04 12:43:00,134.34,134.35,134.3,134.3,627.641
2026-01-04 12:44:00,134.31,134.35,134.22,134.22,1364.234
2026-01-04 12:45:00,134.21,134.39,134.21,134.37,2152.143
2026-01-04 12:46:00,134.37,134.37,134.22,134.25,3292.249
2026-01-04 12:47:00,134.24,134.37,134.23,134.35,3305.714
2026-01-04 12:48:00,134.35,134.36,134.3,134.31,297.683
2026-01-04 12:49:00,134.32,134.32,134.24,134.31,753.632
2026-01-04 12:50:00,134.3,134.32,134.28,134.3,415.677
2026-01-04 12:51:00,134.3,134.31,134.25,134.26,380.863
2026-01-04 12:52:00,134.25,134.33,134.25,134.32,303.358
2026-01-04 12:53:00,134.32,134.33,134.31,134.33,448.309
2026-01-04 12:54:00,134.33,134.35,134.33,134.34,495.571
2026-01-04 12:55:00,134.35,134.35,134.28,134.31,455.968
2026-01-04 12:56:00,134.31,134.31,134.28,134.28,344.032
2026-01-04 12:57:00,134.28,134.29,134.28,134.29,137.491
2026-01-04 12:58:00,134.29,134.34,134.28,134.33,448.671
2026-01-04 12:59:00,134.32,134.35,134.32,134.34,462.796
2026-01-04 13:00:00,134.34,134.34,134.2,134.22,665.832
2026-01-04 13:01:00,134.21,134.22,134.15,134.19,1222.925
2026-01-04 13:02:00,134.19,134.28,134.19,134.22,2245.438
2026-01-04 13:03:00,134.23,134.26,134.22,134.25,704.019
2026-01-04 13:04:00,134.25,134.3,134.24,134.27,420.291
2026-01-04 13:05:00,134.26,134.27,134.07,134.18,1645.658
2026-01-04 13:06:00,134.18,134.29,134.17,134.25,1515.615
2026-01-04 13:07:00,134.25,134.34,134.24,134.34,489.941
2026-01-04 13:08:00,134.33,134.33,134.24,134.25,384.556
2026-01-04 13:09:00,134.25,134.33,134.25,134.27,627.335
2026-01-04 13:10:00,134.27,134.3,134.23,134.29,226.935
2026-01-04 13:11:00,134.29,134.3,134.29,134.29,182.058
2026-01-04 13:12:00,134.3,134.34,134.29,134.3,1202.957
2026-01-04 13:13:00,134.31,134.34,134.29,134.29,617.921
2026-01-04 13:14:00,134.3,134.3,134.25,134.27,198.195
2026-01-04 13:15:00,134.26,134.26,134.15,134.16,601.572
2026-01-04 13:16:00,134.16,134.21,134.12,134.14,507.72
2026-01-04 13:17:00,134.14,134.14,134.01,134.03,756.092
2026-01-04 13:18:00,134.04,134.04,133.92,133.94,2758.65
2026-01-04 13:19:00,133.93,134.0,133.88,133.89,5406.77
2026-01-04 13:20:00,133.89,133.9,133.79,133.79,699.374
2026-01-04 13:21:00,133.79,133.87,133.75,133.82,1482.739
2026-01-04 13:22:00,133.82,133.89,133.82,133.89,3456.011
2026-01-04 13:23:00,133.89,133.95,133.89,133.94,777.297
2026-01-04 13:24:00,133.94,134.0,133.94,133.97,2019.965
2026-01-04 13:25:00,133.97,134.04,133.96,134.02,1399.842
2026-01-04 13:26:00,134.01,134.1,134.01,134.09,1568.01
2026-01-04 13:27:00,134.1,134.13,133.97,133.98,1046.028
2026-01-04 13:28:00,133.98,134.06,133.97,134.05,428.707
2026-01-04 13:29:00,134.06,134.06,134.0,134.01,264.75
2026-01-04 13:30:00,134.01,134.04,134.0,134.02,276.023
2026-01-04 13:31:00,134.02,134.02,133.99,133.99,824.332
2026-01-04 13:32:00,133.98,134.17,133.95,134.14,3097.496
2026-01-04 13:33:00,134.13,134.23,134.13,134.2,3159.804
2026-01-04 13:34:00,134.19,134.25,134.17,134.21,1117.285
2026-01-04 13:35:00,134.2,134.2,134.15,134.15,926.189
2026-01-04 13:36:00,134.15,134.2,134.13,134.2,424.455
2026-01-04 13:37:00,134.19,134.19,134.08,134.13,603.725
2026-01-04 13:38:00,134.13,134.16,134.1,134.1,533.405
2026-01-04 13:39:00,134.11,134.14,134.08,134.08,399.974
2026-01-04 13:40:00,134.08,134.15,134.06,134.14,859.151
2026-01-04 13:41:00,134.14,134.24,134.13,134.23,932.395
2026-01-04 13:42:00,134.24,134.25,134.17,134.19,286.982
2026-01-04 13:43:00,134.18,134.24,134.18,134.21,259.887
2026-01-04 13:44:00,134.21,134.21,134.13,134.13,368.46
2026-01-04 13:45:00,134.14,134.19,134.1,134.19,782.617
2026-01-04 13:46:00,134.18,134.2,134.17,134.18,177.465
2026-01-04 13:47:00,134.18,134.22,134.17,134.21,262.753
2026-01-04 13:48:00,134.22,134.22,134.19,134.19,262.161
2026-01-04 13:49:00,134.19,134.25,134.18,134.25,1134.801
2026-01-04 13:50:00,134.24,134.32,134.24,134.31,466.049
2026-01-04 13:51:00,134.3,134.36,134.3,134.36,374.775
2026-01-04 13:52:00,134.35,134.4,134.33,134.35,1270.85
2026-01-04 13:53:00,134.35,134.44,134.35,134.44,951.568
2026-01-04 13:54:00,134.44,134.52,134.42,134.52,547.797
2026-01-04 13:55:00,134.52,134.52,134.43,134.45,839.012
2026-01-04 13:56:00,134.44,134.49,134.44,134.47,361.696
2026-01-04 13:57:00,134.47,134.5,134.43,134.49,948.291
2026-01-04 13:58:00,134.5,134.56,134.49,134.55,638.234
2026-01-04 13:59:00,134.54,134.54,134.5,134.52,567.298
2026-01-04 14:00:00,134.53,134.53,134.5,134.52,1010.151
2026-01-04 14:01:00,134.52,134.66,134.52,134.64,651.09
2026-01-04 14:02:00,134.65,134.67,134.56,134.56,852.655
2026-01-04 14:03:00,134.56,134.62,134.52,134.62,1066.269
2026-01-04 14:04:00,134.61,134.63,134.54,134.56,1800.984
2026-01-04 14:05:00,134.56,134.59,134.55,134.56,1171.493
2026-01-04 14:06:00,134.56,134.63,134.5,134.62,2511.906
2026-01-04 14:07:00,134.63,134.76,134.62,134.73,3509.314
2026-01-04 14:08:00,134.74,134.75,134.6,134.65,1325.538
2026-01-04 14:09:00,134.65,134.69,134.64,134.67,354.379
2026-01-04 14:10:00,134.68,134.76,134.68,134.75,614.799
2026-01-04 14:11:00,134.74,134.8,134.74,134.79,349.676
2026-01-04 14:12:00,134.79,134.79,134.66,134.67,1159.251
2026-01-04 14:13:00,134.66,134.81,134.66,134.74,1788.086
2026-01-04 14:14:00,134.74,134.74,134.7,134.71,592.633
2026-01-04 14:15:00,134.71,134.74,134.61,134.62,2374.994
2026-01-04 14:16:00,134.62,134.62,134.57,134.58,271.416
2026-01-04 14:17:00,134.57,134.64,134.54,134.54,825.841
2026-01-04 14:18:00,134.55,134.63,134.54,134.6,524.228
